,rank,Company,Symbol,Weight,Price,Chg,% Chg
371,372,Westinghouse Air Brake Technologies Corporation,WAB,0.0492,68.71,0.41,(0.60%)
372,373,DENTSPLY SIRONA Inc.,XRAY,0.049061,54.75,-0.58,(-1.05%)
373,374,CenturyLink Inc.,CTL,0.048889,12.78,-0.11,(-0.85%)
374,375,Lincoln National Corporation,LNC,0.048832,56.53,-5.15,(-8.35%)
375,376,NVR Inc.,NVR,0.048492,3644.85,22.76,(0.63%)
376,377,Host Hotels & Resorts Inc.,HST,0.048089,16.41,-0.26,(-1.53%)
377,378,J.M. Smucker Company,SJM,0.047641,105.62,-0.72,(-0.68%)
378,379,American Airlines Group Inc.,AAL,0.047292,29.87,-0.42,(-1.39%)
379,380,FMC Corporation,FMC,0.047231,91.46,0.49,(0.54%)
380,381,Wynn Resorts Limited,WYNN,0.047091,120.79,-2.94,(-2.37%)
381,382,Brown-Forman Corporation Class B,BF.B,0.046719,65.13,0.24,(0.37%)
382,383,Advance Auto Parts Inc.,AAP,0.046387,162.59,-1.38,(-0.84%)
383,384,Fortinet Inc.,FTNT,0.046372,82.67,0.05,(0.06%)
384,385,Leidos Holdings Inc.,LDOS,0.046354,86.92,0.23,(0.27%)
385,386,SVB Financial Group,SIVB,0.04635,220.94,-5.75,(-2.54%)
386,387,IDEX Corporation,IEX,0.046175,155.33,-0.91,(-0.58%)
387,388,CBS Corporation Class B,CBS,0.046058,35.79,0.21,(0.58%)
388,389,Regency Centers Corporation,REG,0.045987,66.97,-2.79,(-3.99%)
389,390,Nasdaq Inc.,NDAQ,0.045889,99.3,-0.77,(-0.76%)
390,391,Tractor Supply Company,TSCO,0.045757,95.43,-1.58,(-1.63%)
391,392,Hasbro Inc.,HAS,0.045127,96.91,-1.7,(-1.72%)
392,393,AES Corporation,AES,0.044876,16.99,-0.08,(-0.47%)
393,394,Lamb Weston Holdings Inc.,LW,0.044861,76.85,-0.7,(-0.90%)
394,395,Universal Health Services Inc. Class B,UHS,0.04467,137.49,-1.58,(-1.14%)
395,396,Fox Corporation Class A,FOXA,0.044503,31.94,-0.14,(-0.44%)
396,397,Varian Medical Systems Inc.,VAR,0.044013,119.87,-2.62,(-2.14%)
