symbol,symbol,name,lastsale,marketcap,ipoyear,sector,industry
AFT,AFT,Apollo Senior Floating Rate Fund Inc.,14.84,231100000.0,2011.0,,
AFYA,AFYA,Afya Limited,25.31,2220000000.0,2019.0,Consumer Services,Other Consumer Services
AG,AG,First Majestic Silver Corp.,10.81,2190000000.0,,Basic Industries,Precious Metals
AGBA,AGBA,AGBA Acquisition Limited,10.0,59750000.0,2019.0,Finance,Business Services
AGCO,AGCO,AGCO Corporation,73.16,5620000000.0,,Capital Goods,Industrial Machinery/Components
AGD,AGD,Aberdeen Global Dynamic Dividend Fund,9.42,118220000.0,2006.0,,
AGE,AGE,"AgeX Therapeutics, Inc.",2.74,103110000.0,2018.0,Health Care,Major Pharmaceuticals
AGEN,AGEN,Agenus Inc.,2.605,349740000.0,2000.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFS,AGFS,"AgroFresh Solutions, Inc.",1.51,77690000.0,2014.0,Finance,Business Services
AGI,AGI,Alamos Gold Inc.,7.48,2930000000.0,2015.0,Basic Industries,Precious Metals
AGIO,AGIO,"Agios Pharmaceuticals, Inc.",42.71,2510000000.0,2013.0,Health Care,Major Pharmaceuticals
AGLE,AGLE,"Aeglea BioTherapeutics, Inc.",7.95,229340000.0,2016.0,Health Care,Major Pharmaceuticals
AGM,AGM,Federal Agricultural Mortgage Corporation,77.69,831300000.0,,Finance,Finance Companies
AGMH,AGMH,AGM Group Holdings Inc.,16.12,343610000.0,2018.0,Technology,EDP Services
AGN,AGN,Allergan plc.,159.85,52400000000.0,2013.0,Health Care,Major Pharmaceuticals
AGNC,AGNC,AGNC Investment Corp.,17.17,9410000000.0,2008.0,Consumer Services,Real Estate Investment Trusts
AGND,AGND,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,40.884,24530000.0,,,
AGO,AGO,Assured Guaranty Ltd.,45.67,4640000000.0,2004.0,Finance,Property-Casualty Insurers
AGR,AGR,"Avangrid, Inc.",50.79,15690000000.0,2015.0,Public Utilities,Electric Utilities: Central
AGRO,AGRO,Adecoagro S.A.,6.87,800740000.0,2011.0,Consumer Non-Durables,Farming/Seeds/Milling
AGRX,AGRX,"Agile Therapeutics, Inc.",1.09,48810000.0,2014.0,Health Care,Major Pharmaceuticals
AGS,AGS,"PlayAGS, Inc.",8.31,305100000.0,2018.0,Consumer Durables,Miscellaneous manufacturing industries
AGTC,AGTC,Applied Genetic Technologies Corporation,3.87,70320000.0,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGX,AGX,"Argan, Inc.",39.4,615950000.0,,Basic Industries,Engineering & Construction
AGYS,AGYS,"Agilysys, Inc.",27.43,649420000.0,,Technology,EDP Services
AGZD,AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,47.7499,81170000.0,,,
AHC,AHC,A.H. Belo Corporation,3.48,74690000.0,,Consumer Services,Newspapers/Magazines
AHH,AHH,"Armada Hoffler Properties, Inc.",17.38,1290000000.0,2013.0,Finance,Real Estate
AHL^C,AHL^C,Aspen Insurance Holdings Limited,26.99,,,,
AHPI,AHPI,"Allied Healthcare Products, Inc.",1.63,6540000.0,1992.0,Health Care,Industrial Specialties
AHT,AHT,Ashford Hospitality Trust Inc,2.97,303360000.0,2003.0,Consumer Services,Real Estate Investment Trusts
AI,AI,Arlington Asset Investment Corp,5.98,218700000.0,,Consumer Services,Real Estate Investment Trusts
AIA,AIA,iShares Asia 50 ETF,57.07,1020000000.0,,,
AIF,AIF,Apollo Tactical Income Fund Inc.,14.68,212330000.0,2013.0,,
AIG,AIG,"American International Group, Inc.",56.82,49420000000.0,,Finance,Property-Casualty Insurers
AIHS,AIHS,Senmiao Technology Limited,1.145,31750000.0,2018.0,Finance,Finance: Consumer Services
AIMC,AIMC,Altra Industrial Motion Corp.,25.89,1670000000.0,2006.0,Capital Goods,Industrial Machinery/Components
AIMT,AIMT,"Aimmune Therapeutics, Inc.",19.33,1210000000.0,2015.0,Health Care,Major Pharmaceuticals
AIN,AIN,Albany International Corporation,84.01,2710000000.0,,Basic Industries,Textiles
AINC,AINC,Ashford Inc.,28.52,74310000.0,2014.0,Consumer Services,Professional Services
AINV,AINV,Apollo Investment Corporation,16.32,1110000000.0,2004.0,,
AIQ,AIQ,Global X Future Analytics Tech ETF,16.1009,37830000.0,,,
AIR,AIR,AAR Corp.,42.01,1460000000.0,,Capital Goods,Aerospace
AIRG,AIRG,"Airgain, Inc.",11.22,112890000.0,2016.0,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,AIRI,Air Industries Group,1.12,32159999.999999996,,Capital Goods,Military/Government/Technical
AIRR,AIRR,First Trust RBA American Industrial Renaissance ETF,25.74,68210000.0,,,
AIRT,AIRT,"Air T, Inc.",18.25,55420000.0,,Transportation,Air Freight/Delivery Services
AIT,AIT,"Applied Industrial Technologies, Inc.",56.88,2200000000.0,,Consumer Durables,Industrial Specialties
AIV,AIV,Apartment Investment and Management Company,50.67,7540000000.0,1994.0,Consumer Services,Real Estate Investment Trusts
AIZ,AIZ,"Assurant, Inc.",119.46,7340000000.0,2004.0,Finance,Accident &Health Insurance
AJG,AJG,Arthur J. Gallagher & Co.,90.2,16780000000.000002,,Finance,Specialty Insurers
AJRD,AJRD,"Aerojet Rocketdyne Holdings, Inc. ",50.92,4010000000.0,,Capital Goods,Military/Government/Technical
AJX,AJX,Great Ajax Corp.,14.45,274040000.0,2015.0,Consumer Services,Real Estate Investment Trusts
AKAM,AKAM,"Akamai Technologies, Inc.",88.89,14490000000.0,1999.0,Miscellaneous,Business Services
AKBA,AKBA,"Akebia Therapeutics, Inc.",4.18,492670000.0,2014.0,Health Care,Major Pharmaceuticals
AKCA,AKCA,"Akcea Therapeutics, Inc.",21.99,2040000000.0,2017.0,Health Care,Major Pharmaceuticals
AKER,AKER,Akers Biosciences Inc.,0.4299,5370000.0,2014.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKG,AKG,Asanko Gold Inc.,0.9861,222670000.0,,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AKO.A,AKO.A,Embotelladora Andina S.A.,,,,,
AKR,AKR,Acadia Realty Trust,27.86,2350000000.0,,Consumer Services,Real Estate Investment Trusts
AKRO,AKRO,"Akero Therapeutics, Inc.",27.1,732920000.0,2019.0,Health Care,Major Pharmaceuticals
